Loan_Id,Loan_Amount,Customer_Id,Interest_rate,Status
8426053,1435,27542874,4.64,Rejected
8426054,26237,29335607,7.84,Approved
8426055,30019,92042966,4.89,Approved
8426056,42344,68741552,2.03,Rejected
8426057,44500,15551664,2.22,Pending
8426058,14189,69990866,3.78,Rejected
8426059,25157,54206036,3.82,Approved
8426060,15613,87989495,3.1,Pending
8426061,39063,85189561,3.43,Rejected
8426062,27003,76488040,2.59,Rejected
8426063,7053,83672554,7.19,Approved
8426064,10322,75280507,2.52,Rejected
8426065,13680,11213088,2.83,Rejected
8426066,20739,15107845,5.72,Pending
8426067,43902,94314941,1.56,Pending
8426068,30032,29534125,6.81,Approved
8426069,48118,41782086,0.99,Approved
8426070,25405,99799036,6.04,Rejected
8426071,22791,24326026,4.91,Approved
8426072,19553,76700898,7.41,Rejected
8426073,27292,69949199,2.5,Rejected
8426074,10265,64344439,1.91,Rejected
8426075,33784,51760675,7.2,Pending
8426076,25916,68103757,4.45,Approved
8426077,40349,58251354,1.63,Approved
8426078,29404,27912564,4.05,Approved
8426079,4483,19244486,2.52,Rejected
8426080,14834,14115198,6.69,Approved
8426081,18813,81208082,3.09,Pending
8426082,18374,62328695,1.74,Approved
8426083,44731,90426803,4.74,Approved
8426084,44117,24502061,6.83,Pending
8426085,44209,70654682,3.15,Rejected
8426086,3713,94076608,3.9,Rejected
8426087,6099,26973164,2.99,Rejected
8426088,48463,18960336,1.56,Pending
8426089,48608,75019910,3.63,Approved
8426090,6545,41936273,6.5,Rejected
8426091,13657,55424139,6.36,Pending
8426092,28933,36725558,1.84,Approved
8426093,12956,61761406,4.12,Approved
8426094,12579,86963466,1.24,Approved
8426095,45984,84367085,7.06,Pending
8426096,18104,34299880,3.58,Pending
8426097,11774,19464673,7.52,Rejected
8426098,49767,47794927,5.54,Approved
8426099,26056,10181256,0.02,Rejected
8426100,47510,46330853,6.56,Approved
8426101,5658,83839713,6.97,Pending
8426102,17359,88864569,5.43,Approved
8426103,49706,72279467,3.67,Pending
8426104,10114,70820828,2.44,Rejected
8426105,32418,22849668,4.43,Approved
8426106,5244,27046592,5.25,Rejected
8426107,17783,20146463,3.77,Rejected
8426108,3646,15044960,5.49,Pending
8426109,30799,93597198,0.29,Approved
8426110,10359,24832950,6.61,Approved
8426111,20314,34537403,3.12,Pending
8426112,1764,37893614,7.64,Rejected
8426113,26091,70762576,2.01,Rejected
8426114,26668,79414745,3.34,Approved
8426115,31840,60823618,0.37,Approved
8426116,14473,21994958,5.56,Approved
8426117,49573,71074243,1.35,Approved
8426118,27616,79894284,5.53,Pending
8426119,18593,62774181,4.36,Approved
8426120,2325,16557293,0.29,Pending
8426121,359,83615792,7.72,Pending
8426122,3277,52419904,7.76,Approved
8426123,6780,52077058,2.17,Pending
8426124,41100,33776919,7.09,Rejected
8426125,45495,75525969,4.66,Pending
8426126,22416,10397696,5.07,Approved
8426127,10091,57185425,3.32,Approved
8426128,9509,50956342,5.11,Pending
8426129,47854,33644526,7.8,Rejected
8426130,35780,63175529,5.42,Pending
8426131,34016,30542187,1.92,Rejected
8426132,47356,34134777,4.59,Rejected
8426133,14900,83623574,6.8,Pending
8426134,30398,45589276,4.45,Approved
8426135,7194,90601782,6.78,Approved
8426136,43270,83155561,5.38,Rejected
8426137,1654,15669813,5.22,Rejected
8426138,40401,52959482,3.88,Pending
8426139,48617,54447650,1.4,Pending
8426140,20772,91763887,6.16,Rejected
8426141,43326,44533391,6.46,Rejected
8426142,42327,53358627,3.1,Pending
8426143,19962,72003895,2.85,Rejected
8426144,32205,26275194,2.23,Rejected
8426145,5558,37568855,3.11,Pending
8426146,32335,29344492,3.04,Approved
8426147,6936,71550544,0.81,Pending
8426148,5660,72929736,2.44,Rejected
8426149,17684,55773077,7.61,Approved
8426150,11523,94190020,5.41,Rejected
8426151,49127,39951944,1.54,Rejected
8426152,21134,99533278,1.44,Pending
8426153,17200,97740451,0.53,Pending
8426154,10301,57923635,1.09,Approved
8426155,13203,68324492,6.36,Pending
8426156,40909,79925471,3.43,Pending
8426157,45044,29749625,5.55,Rejected
8426158,1706,77623343,4.6,Approved
8426159,13549,56748294,5.07,Pending
8426160,38306,74497292,4.72,Pending
8426161,18989,94854556,1.05,Pending
8426162,26020,75220381,1.14,Approved
8426163,31879,80451920,2.95,Pending
8426164,49984,88983152,1.01,Pending
8426165,7720,54041088,5.38,Approved
8426166,49550,68309513,1.03,Approved
8426167,23843,26869179,3.41,Pending
8426168,42278,33485461,2.96,Rejected
8426169,7449,85958986,3.81,Approved
8426170,6739,29698174,6.85,Pending
8426171,34580,73403986,5.11,Pending
8426172,4678,21551761,1.68,Pending
8426173,23511,84701189,4.46,Rejected
8426174,1451,18239263,1.21,Rejected
8426175,37429,90543649,4.53,Approved
8426176,11205,54597571,3.09,Rejected
8426177,7299,35969803,3.65,Approved
8426178,49282,82620506,6.62,Rejected
8426179,29739,23343528,1.6,Pending
8426180,34901,63313278,1.65,Approved
8426181,24591,36796028,4.76,Rejected
8426182,30998,20590611,4.61,Approved
8426183,47857,89768336,5.31,Rejected
8426184,29687,40894821,7.61,Pending
8426185,5268,96678254,7.08,Rejected
8426186,32109,25171402,6.31,Rejected
8426187,28092,32807092,6.11,Rejected
8426188,27920,65981160,0.58,Rejected
8426189,31591,59462263,2.3,Pending
8426190,14680,17631881,4.94,Pending
8426191,42086,61513605,1.91,Approved
8426192,14497,71921708,0.17,Pending
8426193,46711,92648195,0.53,Rejected
8426194,15321,72894901,7.14,Rejected
8426195,43169,76981525,6.81,Approved
8426196,42454,83618668,1.89,Approved
8426197,39352,80010199,2.88,Approved
8426198,13667,44905137,4.36,Rejected
8426199,10677,69386132,2.21,Rejected
8426200,19440,85093773,1.52,Approved
8426201,42271,58927078,7.18,Pending
8426202,38194,16767121,7.31,Pending
8426203,13700,48484641,2.17,Approved
8426204,42777,50440487,6.5,Pending
8426205,39466,28935865,0.11,Pending
8426206,30820,26277468,4.75,Pending
8426207,22292,40521623,7.06,Approved
8426208,32509,16410517,0.18,Rejected
8426209,40189,84061812,3.61,Rejected
8426210,35674,14804753,1.46,Pending
8426211,37134,83905522,1.01,Approved
8426212,32061,99799036,3.15,Rejected
8426213,37674,26925664,2,Rejected
8426214,12991,83681981,3.38,Approved
8426215,18570,37131171,5.42,Pending
8426216,46017,30691304,6.24,Approved
8426217,36271,80192508,3.78,Rejected
8426218,48120,56701830,0.77,Pending
8426219,18998,96286589,2.28,Approved
8426220,16272,90910453,4.89,Pending
8426221,31289,87408990,1.73,Rejected
8426222,31558,85181332,0.29,Rejected
8426223,17428,65575125,3.52,Approved
8426224,35752,69517774,2.27,Approved
8426225,43383,97647033,2.24,Approved
8426226,30478,33340925,6.21,Pending
8426227,45083,90084934,6.67,Pending
8426228,32045,81817989,3.33,Rejected
8426229,6688,23282656,4.68,Approved
8426230,32687,74483727,4.08,Pending
8426231,32557,80514099,6.58,Rejected
8426232,29098,56807058,5.28,Pending
8426233,37247,76575367,0.93,Rejected
8426234,5577,15274699,1.19,Pending
8426235,29452,31813336,6.7,Pending
8426236,23793,73777187,4.73,Pending
8426237,9349,94714420,4.17,Pending
8426238,13065,74660292,5.04,Pending
8426239,21646,22849668,4.05,Rejected
8426240,24333,51729708,4.41,Pending
8426241,17903,28929150,2.89,Rejected
8426242,9471,82919909,5.49,Approved
8426243,240,91191090,4.87,Pending
8426244,35547,51786744,1.28,Approved
8426245,16108,95535025,2.74,Pending
8426246,32214,30042440,6.86,Approved
8426247,37015,11676829,2.62,Approved
8426248,15854,97162604,5.48,Pending
8426249,29281,33776919,0.38,Pending
8426250,4190,90830346,2.72,Approved
8426251,18993,49629481,3.1,Rejected
8426252,33600,53132220,5.72,Pending
8426253,26247,39216989,1.87,Approved
8426254,47708,83022671,7.49,Rejected
8426255,9581,35066143,4.81,Approved
8426256,14876,63774154,5.33,Pending
8426257,20572,75679936,6.68,Pending
8426258,49654,69723799,2.45,Rejected
8426259,34378,76371626,3.08,Pending
8426260,2888,73616649,2.98,Approved
8426261,18483,70618037,7.98,Pending
8426262,40486,38944463,5.93,Rejected
8426263,12800,11406057,2.63,Rejected
8426264,45757,18068279,6.4,Pending
8426265,2448,69141780,1.04,Approved
8426266,25250,13397620,2.46,Rejected
8426267,4089,69804785,3.89,Approved
8426268,13332,41139666,6.05,Rejected
8426269,34596,47951900,4.95,Approved
8426270,30682,65198495,1.27,Rejected
8426271,4016,20086125,6.8,Approved
8426272,16451,76975497,6.39,Rejected
8426273,10722,36912744,4.03,Pending
8426274,8064,78400429,5.95,Rejected
8426275,47532,29288066,1.18,Pending
8426276,26486,12760551,2.52,Pending
8426277,3254,53100440,3.82,Approved
8426278,11062,70502812,0.53,Approved
8426279,47100,29252385,4.42,Pending
8426280,25839,20009592,4.32,Rejected
8426281,1600,63595385,5.04,Approved
8426282,30024,26271533,7.38,Approved
8426283,42459,19759461,7.24,Approved
8426284,47296,28172547,7.44,Pending
8426285,7278,56144572,3.36,Pending
8426286,24767,90352909,7.8,Rejected
8426287,1013,91819384,7.36,Approved
8426288,16874,27912564,3.88,Rejected
8426289,33793,45366260,5.28,Approved
8426290,21459,50388891,7.43,Approved
8426291,27119,70172495,4.52,Approved
8426292,19716,34149602,2.71,Pending
8426293,3844,58628625,2.01,Pending
8426294,21811,60085094,5.92,Pending
8426295,37797,27654005,6.67,Pending
8426296,6555,32379052,6.45,Approved
8426297,18439,54677948,5.25,Rejected
8426298,15849,36337207,5.19,Rejected
8426299,30847,26729646,1.95,Rejected
8426300,13572,54721099,4.36,Approved
8426301,36375,88507543,5.61,Rejected
8426302,23945,33340925,0.57,Rejected
8426303,13434,85436403,7.56,Approved
8426304,41959,40654325,3.71,Approved
8426305,2459,83564573,1.58,Approved
8426306,21720,20176504,7.76,Approved
8426307,36618,22921357,7.12,Pending
8426308,21509,97841527,2.58,Rejected
8426309,29754,10602925,5.23,Rejected
8426310,41054,53442055,2.24,Approved
8426311,43464,98062406,0.63,Rejected
8426312,40116,97924337,2.06,Rejected
8426313,15621,86660063,0.41,Pending
8426314,16685,48588647,6.83,Pending
8426315,42961,38268305,3.48,Rejected
8426316,10899,48114314,6.96,Pending
8426317,22754,12305552,6.96,Approved
8426318,13490,73445829,3.33,Rejected
8426319,10721,41727799,2.21,Pending
8426320,23128,37894005,3.07,Pending
8426321,6393,38564129,7.41,Rejected
8426322,22007,57573162,1.58,Rejected
8426323,44244,41843773,4.94,Pending
8426324,47846,70985137,5.74,Pending
8426325,12345,75753269,4.16,Rejected
8426326,34756,66780044,0.09,Pending
8426327,47829,41553016,4.52,Pending
8426328,4747,70789749,1.24,Pending
8426329,16153,63673840,1.09,Pending
8426330,32923,77857374,6.64,Rejected
8426331,31018,80249622,6.78,Rejected
8426332,29313,22842302,0.15,Approved
8426333,3209,37948532,2.83,Rejected
8426334,13572,87317150,3.14,Rejected
8426335,35085,78522270,5.81,Pending
8426336,1140,96352073,0.57,Pending
8426337,23657,87608409,5.06,Pending
8426338,25014,45591759,3.03,Approved
8426339,27200,76399891,6.98,Approved
8426340,13823,81764357,0.91,Pending
8426341,27869,11824331,4.96,Approved
8426342,10672,79106401,3.12,Pending
8426343,29337,47960392,3.42,Approved
8426344,22117,88659709,1.28,Approved
8426345,41312,27883406,4.48,Rejected
8426346,47057,28016385,3.23,Rejected
8426347,45718,21591262,2.7,Rejected
8426348,39152,88878101,2.51,Rejected
8426349,3561,44132368,6.91,Pending
8426350,3326,75789912,3.42,Pending
8426351,36771,16878773,7.56,Pending
8426352,27934,44251495,0.67,Rejected
8426353,33994,96635097,3.96,Pending
8426354,14866,67943923,7.61,Approved
8426355,8746,29322875,5.17,Rejected
8426356,40360,35726817,4.07,Pending
8426357,10432,21753412,2.54,Rejected
8426358,28931,36147718,4.82,Approved
8426359,38300,15261295,6.2,Approved
8426360,33003,42417332,5.97,Rejected
8426361,14773,76557849,3.46,Rejected
8426362,48879,32444564,2.03,Pending
8426363,34907,86747085,4.25,Pending
8426364,5296,22015405,7.93,Rejected
8426365,17136,23053311,1.65,Pending
8426366,26037,20723251,7.23,Approved
8426367,32281,26925485,2.4,Approved
8426368,5385,79512375,6.27,Approved
8426369,29070,16600340,5.68,Rejected
8426370,38125,23760874,5.96,Approved
8426371,31483,50649533,5.93,Pending
8426372,43824,88953689,5.7,Rejected
8426373,12842,81391555,4.28,Approved
8426374,3817,14711113,5.09,Rejected
8426375,46361,33806405,7.69,Rejected
8426376,5020,38208478,3.56,Pending
8426377,18457,25379875,3.46,Approved
8426378,33247,92374512,4.38,Approved
8426379,25713,30510862,6.19,Approved
8426380,43235,40908205,5.13,Pending
8426381,36749,68179474,3.67,Approved
8426382,36612,72805695,1.39,Rejected
8426383,41097,52934120,3.17,Approved
8426384,21862,46369033,4.24,Pending
8426385,8934,45906569,6.48,Pending
8426386,20948,68613425,3.02,Rejected
8426387,30435,91913274,2.55,Pending
8426388,17916,66793571,2.5,Rejected
8426389,47989,89158692,5.51,Pending
8426390,35677,94533797,1.52,Approved
8426391,31712,79586182,7.66,Rejected
8426392,24036,86376343,3.45,Rejected
8426393,47449,47865997,1.49,Pending
8426394,3390,23968966,6.95,Pending
8426395,20003,77348788,6.94,Rejected
8426396,10339,72085720,7.19,Approved
8426397,18210,96230188,5.17,Approved
8426398,42365,51016274,2.29,Rejected
8426399,46233,16098286,0.53,Rejected
8426400,49733,29633154,0.04,Pending
8426401,1815,12531757,2.01,Rejected
8426402,33867,76635439,5.38,Approved
8426403,4009,14723578,3.67,Approved
8426404,30196,99235270,5.45,Rejected
8426405,25303,73238072,0.45,Pending
8426406,45026,60473008,3.33,Approved
8426407,16193,45563280,4.64,Approved
8426408,46536,40204296,2.22,Rejected
8426409,19276,98103915,1.02,Rejected
8426410,46846,59800695,0.61,Pending
8426411,28179,44327486,4.22,Pending
8426412,47592,51116294,2.07,Approved
8426413,39890,30046048,5.83,Rejected
8426414,13018,41422050,6.02,Pending
8426415,38399,87070369,1.19,Rejected
8426416,18126,48893727,1.86,Pending
8426417,28091,84468803,0.93,Rejected
8426418,28488,36157320,5.88,Pending
8426419,27534,25676776,3.57,Rejected
8426420,21105,95859606,6.62,Approved
8426421,263,66539155,4.64,Rejected
8426422,5563,27203774,1.52,Pending
8426423,31441,52847837,7.73,Approved
8426424,4654,57772088,6.12,Pending
8426425,42687,37389251,4.95,Pending
8426426,20693,54677900,0.72,Rejected
8426427,26503,97155751,3.36,Pending
8426428,32547,39706201,1.21,Rejected
8426429,6555,98949221,4.34,Approved
8426430,46336,53150381,3.23,Pending
8426431,25803,36048932,6.74,Rejected
8426432,43387,64211360,4.69,Approved
8426433,37079,70898256,6.12,Pending
8426434,2306,13556367,5.85,Approved
8426435,10234,92719561,0.46,Rejected
8426436,27665,44838749,5.66,Approved
8426437,41879,92176292,2.52,Approved
8426438,3826,47274475,4.98,Approved
8426439,11936,85231407,5.31,Pending
8426440,17640,55116012,1.42,Approved
8426441,36159,80871619,4.03,Rejected
8426442,39943,20302302,3.33,Pending
8426443,23321,54067515,0.29,Rejected
8426444,34500,28468747,2.77,Rejected
8426445,6996,53468902,0.65,Rejected
8426446,6618,10111317,2.29,Rejected
8426447,23478,58456402,3.61,Approved
8426448,34404,69365783,2.61,Rejected
8426449,19120,82281296,6.43,Approved
8426450,32558,25136457,3.04,Rejected
8426451,13030,46505907,0.26,Approved
8426452,356,67224479,3.8,Rejected
8426453,12409,41894134,1.98,Pending
8426454,43588,30815180,0.9,Rejected
8426455,35055,83961135,5.48,Rejected
8426456,28526,36453150,1.18,Pending
8426457,45068,59801045,2.84,Pending
8426458,14707,66508533,4.53,Rejected
8426459,44110,28130566,7.52,Pending
8426460,38480,98652529,5.05,Rejected
8426461,29628,53150381,4.97,Approved
8426462,34675,95201817,5.19,Rejected
8426463,40588,75433755,5.31,Rejected
8426464,32344,72692331,2.96,Pending
8426465,23283,36026440,6.94,Pending
8426466,11772,94220508,5.11,Rejected
8426467,49882,51427125,6.12,Approved
8426468,11541,69540996,4.29,Rejected
8426469,37172,39456864,4.06,Approved
8426470,31684,62918517,6.97,Rejected
8426471,11214,70691461,7.43,Rejected
8426472,25161,53776472,0.94,Rejected
8426473,30178,80602914,3.9,Pending
8426474,9010,97819184,5.38,Approved
8426475,49826,80928704,6.83,Rejected
8426476,45988,85818405,6.16,Pending
8426477,23857,95309636,0.32,Approved
8426478,43398,53572804,3.78,Rejected
8426479,49655,99408308,5.92,Pending
8426480,35235,32378664,2,Pending
8426481,31075,54438981,2.67,Pending
8426482,4549,87868731,5.67,Pending
8426483,18739,50813409,7.92,Rejected
8426484,20842,50993274,5.18,Rejected
8426485,23282,35356213,4.49,Approved
8426486,12267,88067414,1.08,Approved
8426487,44832,69321240,4.77,Pending
8426488,12647,96526610,4.08,Approved
8426489,36594,87180762,5.06,Rejected
8426490,11437,85386501,2.53,Pending
8426491,26260,77145973,4.58,Rejected
8426492,19631,44715686,4.54,Pending
8426493,11466,19827091,0.28,Rejected
8426494,617,34740661,1.21,Pending
8426495,6245,93146407,3.93,Approved
8426496,3901,89559885,2.86,Pending
8426497,45842,52560628,0.53,Approved
8426498,28155,38413795,5.27,Rejected
8426499,13417,55609574,0.09,Rejected
8426500,34226,16689675,1.97,Approved
8426501,8885,45654436,2.01,Rejected
8426502,43640,11589738,7.12,Rejected
8426503,8230,36344030,1.04,Approved
8426504,43298,51729708,7.01,Pending
8426505,26074,30932313,0.33,Rejected
8426506,46742,37522163,4.73,Approved
8426507,34765,46882596,2.17,Rejected
8426508,20971,66498436,2.77,Pending
8426509,13035,32743133,7.2,Rejected
8426510,14920,30833998,3.57,Pending
8426511,23109,47932991,3.14,Approved
8426512,13612,15296900,6.22,Pending
8426513,1275,43386033,2.43,Pending
8426514,33354,45124637,3.64,Approved
8426515,21828,64747739,6.75,Approved
8426516,8168,44016342,5.31,Rejected
8426517,2030,32025795,0.63,Rejected
8426518,37782,70391898,3.26,Approved
8426519,49271,46076033,3.97,Approved
8426520,17350,19061755,5.7,Approved
8426521,17178,71424907,1.53,Rejected
8426522,42417,70310766,0.7,Rejected
8426523,44073,89615735,6.57,Approved
8426524,926,15047552,1.25,Rejected
8426525,11730,75277776,4.85,Approved
8426526,34580,23051281,6.99,Rejected
8426527,19188,99852819,3.15,Pending
8426528,39930,34642432,7.04,Rejected
8426529,17591,83699195,4.54,Approved
8426530,21977,33608836,3.1,Approved
8426531,1624,71267782,5.14,Rejected
8426532,10452,41774818,4.54,Approved
8426533,9300,68613425,3.23,Approved
8426534,15309,35347111,1.62,Approved
8426535,23268,91937089,2.87,Rejected
8426536,35310,26740659,5.5,Approved
8426537,16431,57814421,0.67,Rejected
8426538,32267,36527561,5.14,Pending
8426539,40046,92672971,6.23,Pending
8426540,20045,51414972,2.64,Rejected
8426541,5672,48405891,7.96,Approved
8426542,22380,97360208,5.11,Rejected
8426543,49406,10079907,5.29,Pending
8426544,45920,49296345,7.15,Rejected
8426545,42906,23554604,5.32,Rejected
8426546,22675,69664957,7.96,Approved
8426547,36520,28753568,4.29,Rejected
8426548,8708,46021179,5.81,Pending
8426549,12238,98044766,7.29,Rejected
8426550,42781,93666890,0.98,Pending
8426551,1204,90895696,6.6,Pending
8426552,5827,66622786,0.91,Rejected
8426553,31479,70452815,0.83,Pending
8426554,39615,21619905,2.2,Approved
8426555,32270,59794432,1.9,Approved
8426556,16687,50098771,4.86,Rejected
8426557,19120,93216652,3.25,Pending
8426558,18573,27549232,0.98,Pending
8426559,14210,22732854,5.26,Approved
8426560,13625,23768121,0.53,Rejected
8426561,36806,73612765,1.3,Pending
8426562,41033,56119696,2.85,Rejected
8426563,44376,96943835,2.48,Pending
8426564,9672,48267046,7.33,Pending
8426565,1105,52949478,5.01,Approved
8426566,1849,90862598,6.54,Rejected
8426567,24379,83033758,5.58,Rejected
8426568,14494,30544689,7.94,Pending
8426569,7704,14867860,3.39,Approved
8426570,29721,25949623,0.02,Approved
8426571,15342,14628029,2.36,Approved
8426572,29615,55845971,0.22,Approved
8426573,36853,67668523,3.64,Rejected
8426574,7783,87317150,2.75,Pending
8426575,47318,26180155,3.87,Approved
8426576,5542,84016774,0.81,Approved
8426577,44699,74430880,1.16,Approved
8426578,34607,67353418,2.95,Rejected
8426579,48830,33654712,4.16,Pending
8426580,27066,65915576,1.85,Approved
8426581,42708,48901950,0.18,Rejected
8426582,15598,23412606,6.11,Rejected
8426583,47760,87957988,0.1,Rejected
8426584,5327,95421148,1.99,Approved
8426585,40561,55911048,6,Rejected
8426586,44794,93480842,4.33,Approved
8426587,46181,43675672,1.46,Pending
8426588,35398,47564107,7.36,Approved
8426589,2110,62956212,7.47,Pending
8426590,43011,92845391,7.28,Approved
8426591,21622,15441529,4.13,Pending
8426592,26153,75762435,5.76,Approved
8426593,38974,69831113,5.38,Pending
8426594,3191,92447742,3.78,Pending
8426595,5335,87967566,1.67,Approved
8426596,5342,49441664,6.17,Rejected
8426597,7654,97890209,6.01,Approved
8426598,2805,12506505,0.8,Rejected
8426599,595,20402127,0.94,Rejected
8426600,25811,17759391,5.18,Approved
8426601,9901,95419803,7.72,Approved
8426602,23881,61775657,3.37,Pending
8426603,31051,94533797,7.69,Rejected
8426604,9301,75100562,3.69,Pending
8426605,35470,58474235,2.3,Approved
8426606,49452,61753480,6.3,Rejected
8426607,36330,62661779,5.27,Rejected
8426608,38116,44925597,4.83,Pending
8426609,16547,62443873,5.36,Pending
8426610,26919,22655061,3.5,Pending
8426611,31375,62580228,3.62,Approved
8426612,44259,21325698,3.85,Rejected
8426613,2740,93973383,0.33,Pending
8426614,14223,53498076,0.68,Pending
8426615,2666,54763970,7.05,Rejected
8426616,7236,44309527,3.93,Rejected
8426617,8001,94755936,7.75,Pending
8426618,41454,86104867,6.49,Rejected
8426619,20082,74890082,1.25,Approved
8426620,37791,87313184,4.02,Rejected
8426621,12616,65044190,7.13,Approved
8426622,4263,46112845,3.58,Approved
8426623,13556,46374434,0.82,Pending
8426624,21271,76760563,4.25,Approved
8426625,12401,39100804,7.56,Rejected
8426626,1616,20760811,3.34,Rejected
8426627,17376,92941989,6.2,Pending
8426628,39319,94430702,0.02,Approved
8426629,24406,10513537,0.19,Pending
8426630,1904,62953570,0.57,Rejected
8426631,17003,94485703,4.28,Approved
8426632,15715,31272877,7.36,Rejected
8426633,49170,39536564,2.99,Rejected
8426634,24777,90403501,4.87,Approved
8426635,26439,54147826,2.06,Approved
8426636,25018,50547327,6.22,Pending
8426637,4438,62918517,1.19,Approved
8426638,761,50425129,2.46,Approved
8426639,12176,42075868,6.54,Rejected
8426640,755,67520993,2.33,Rejected
8426641,44236,62956212,2.54,Rejected
8426642,46654,45462260,5.49,Pending
8426643,13061,24988933,0.39,Pending
8426644,33017,17631881,3.33,Approved
8426645,2111,39229549,6.2,Rejected
8426646,25036,86025035,3.09,Pending
8426647,25613,50591097,6.76,Rejected
8426648,22764,40908205,5.79,Approved
8426649,1888,57421013,4.83,Pending
8426650,13252,49614560,5.37,Rejected
8426651,18850,83177615,7.37,Rejected
8426652,26922,76455052,5.17,Rejected
8426653,11290,96490366,0.15,Rejected
8426654,19547,92807136,6.38,Rejected
8426655,49682,33996343,3.53,Approved
8426656,37531,25083655,5.51,Pending
8426657,11415,70097659,3.06,Rejected
8426658,3556,90727997,4.16,Pending
8426659,16382,52087514,3.16,Approved
8426660,12322,33448029,2.69,Pending
8426661,38111,86029239,5.58,Rejected
8426662,48050,23263181,3.17,Approved
8426663,42647,72237787,6.86,Pending
8426664,40393,32210260,3.05,Pending
8426665,1792,75659175,1.22,Approved
8426666,10963,55246657,5.65,Approved
8426667,19909,92879056,6.06,Approved
8426668,18619,15668150,1.24,Rejected
8426669,15306,99799036,6.51,Approved
8426670,34699,82508588,2.99,Rejected
8426671,3645,88115276,2.41,Approved
8426672,20953,73163239,2.85,Rejected
8426673,48164,50270152,1.51,Rejected
8426674,30816,79515691,2,Rejected
8426675,13426,80503108,0.29,Approved
8426676,2925,69906781,5.92,Rejected
8426677,46292,91732363,3.6,Approved
8426678,816,31592340,3.35,Pending
8426679,22853,22508644,4.14,Approved
8426680,1224,74798678,4.09,Pending
8426681,15626,91352108,7.78,Approved
8426682,32631,86082220,2.92,Approved
8426683,48775,72136058,2.39,Rejected
8426684,24820,20446878,1.72,Approved
8426685,4222,65700242,7.78,Rejected
8426686,29527,90880839,5.8,Approved
8426687,12978,40861823,6.49,Approved
8426688,15794,14291842,3.43,Pending
8426689,32937,66301961,5.08,Approved
8426690,19788,92719561,2.27,Pending
8426691,44197,71157367,6.64,Pending
8426692,31061,17445136,4.3,Pending
8426693,34663,91141348,0.6,Approved
8426694,20200,42193003,4.59,Rejected
8426695,15960,28603863,2.18,Rejected
8426696,49579,28935865,3.05,Pending
8426697,591,20015587,3.34,Approved
8426698,25576,28660125,2.16,Rejected
8426699,49445,19917298,1.51,Pending
8426700,9469,94485703,0.23,Approved
8426701,31616,79019275,5.36,Approved
8426702,9130,37792182,3.53,Rejected
8426703,41856,13622698,2.7,Pending
8426704,33061,97816308,5.81,Pending
8426705,3543,41007524,0.9,Approved
8426706,43534,29170371,0.93,Pending
8426707,14921,72150439,3.31,Pending
8426708,13882,44512725,2.21,Pending
8426709,7056,86167785,2.47,Approved
8426710,45819,99812476,6.36,Rejected
8426711,49358,60625424,7.72,Rejected
8426712,30166,52213217,6.22,Approved
8426713,28462,41745864,6.9,Pending
8426714,49563,78876881,7.78,Pending
8426715,32013,72082845,4.05,Pending
8426716,4909,76488040,4.45,Rejected
8426717,7645,28139071,1.2,Rejected
8426718,8404,23642266,5.1,Approved
8426719,3634,89371064,6.99,Approved
8426720,11495,80823005,3.4,Rejected
8426721,43294,35228797,2.31,Pending
